* Measurement data measured by REW V5.20.9
* Format: Comma/Tab/Space delimited data
* Dated: 27.12.2022 18:42:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Measurement: Harman 2018
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1115.866821	60.340	0.0000
1123.952881	60.366	0.0000
1132.097534	60.396	0.0000
1140.301147	60.429	0.0000
1148.564209	60.461	0.0000
1156.887207	60.493	0.0000
1165.270508	60.524	0.0000
1173.714478	60.556	0.0000
1182.219727	60.591	0.0000
1190.786621	60.628	0.0000
1199.415527	60.665	0.0000
1208.106934	60.703	0.0000
1216.861328	60.740	0.0000
1225.679199	60.778	0.0000
1234.561035	60.814	0.0000
1243.507202	60.852	0.0000
1252.518188	60.894	0.0000
1261.594482	60.939	0.0000
1270.736572	60.985	0.0000
1279.944824	61.032	0.0000
1289.219849	61.078	0.0000
1298.562012	61.125	0.0000
1307.971924	61.172	0.0000
1317.450073	61.220	0.0000
1326.996826	61.269	0.0000
1336.612793	61.321	0.0000
1346.298462	61.373	0.0000
1356.054321	61.426	0.0000
1365.880859	61.480	0.0000
1375.778564	61.533	0.0000
1385.748047	61.585	0.0000
1395.789795	61.638	0.0000
1405.904297	61.690	0.0000
1416.092041	61.743	0.0000
1426.353638	61.795	0.0000
1436.689575	61.848	0.0000
1447.100464	61.900	0.0000
1457.586792	61.952	0.0000
1468.149048	62.004	0.0000
1478.787842	62.056	0.0000
1489.503784	62.108	0.0000
1500.297363	62.162	0.0000
1511.169189	62.224	0.0000
1522.119751	62.288	0.0000
1533.149658	62.352	0.0000
1544.259521	62.416	0.0000
1555.449829	62.481	0.0000
1566.721313	62.544	0.0000
1578.074463	62.607	0.0000
1589.509888	62.670	0.0000
1601.028076	62.739	0.0000
1612.629761	62.810	0.0000
1624.315552	62.883	0.0000
1636.086060	62.957	0.0000
1647.941772	63.031	0.0000
1659.883423	63.105	0.0000
1671.911621	63.178	0.0000
1684.026978	63.252	0.0000
1696.230103	63.329	0.0000
1708.521729	63.408	0.0000
1720.902344	63.491	0.0000
1733.372681	63.574	0.0000
1745.933472	63.658	0.0000
1758.585205	63.741	0.0000
1771.328613	63.824	0.0000
1784.164429	63.907	0.0000
1797.093262	63.992	0.0000
1810.115723	64.077	0.0000
1823.232544	64.165	0.0000
1836.444458	64.254	0.0000
1849.752075	64.342	0.0000
1863.156128	64.430	0.0000
1876.657349	64.518	0.0000
1890.256348	64.607	0.0000
1903.953979	64.698	0.0000
1917.750854	64.789	0.0000
1931.647705	64.882	0.0000
1945.645264	64.975	0.0000
1959.744263	65.068	0.0000
1973.945435	65.161	0.0000
1988.249512	65.254	0.0000
2002.657227	65.342	0.0000
2017.169312	65.422	0.0000
2031.786499	65.498	0.0000
2046.509644	65.575	0.0000
2061.339600	65.651	0.0000
2076.276855	65.728	0.0000
2091.322510	65.805	0.0000
2106.477051	65.881	0.0000
2121.741455	65.957	0.0000
2137.116455	66.033	0.0000
2152.602783	66.108	0.0000
2168.201416	66.183	0.0000
2183.913086	66.257	0.0000
2199.738525	66.332	0.0000
2215.678711	66.407	0.0000
2231.734375	66.481	0.0000
2247.906494	66.553	0.0000
2264.195801	66.625	0.0000
2280.603027	66.695	0.0000
2297.129150	66.766	0.0000
2313.775146	66.837	0.0000
2330.541748	66.908	0.0000
2347.429932	66.976	0.0000
2364.440430	67.040	0.0000
2381.574219	67.100	0.0000
2398.832031	67.156	0.0000
2416.214844	67.209	0.0000
2433.723633	67.265	0.0000
2451.359375	67.320	0.0000
2469.123047	67.376	0.0000
2487.015381	67.429	0.0000
2505.037354	67.480	0.0000
2523.189941	67.529	0.0000
2541.474121	67.575	0.0000
2559.890625	67.621	0.0000
2578.440674	67.666	0.0000
2597.125000	67.712	0.0000
2615.944824	67.758	0.0000
2634.901123	67.804	0.0000
2653.994629	67.846	0.0000
2673.226562	67.888	0.0000
2692.597900	67.927	0.0000
2712.109619	67.967	0.0000
2731.762695	68.006	0.0000
2751.558105	68.045	0.0000
2771.497070	68.085	0.0000
2791.580566	68.124	0.0000
2811.809570	68.154	0.0000
2832.185059	68.181	0.0000
2852.708252	68.206	0.0000
2873.380127	68.230	0.0000
2894.201904	68.255	0.0000
2915.174561	68.280	0.0000
2936.299072	68.305	0.0000
2957.576660	68.331	0.0000
2979.008545	68.356	0.0000
3000.595703	68.381	0.0000
3022.339355	68.406	0.0000
3044.240479	68.431	0.0000
