* Measurement data measured by REW V5.20.9
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3
* Dated: 3.10.2022 17:55:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3
* Measurement: TR-X00 PH Left AVG Tiukka
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz)	SPL(dB)
367.309599	82.414
367.675810	82.416
368.042020	82.418
368.408231	82.421
368.774442	82.423
369.140653	82.426
369.506864	82.428
369.873075	82.431
370.239286	82.434
370.605497	82.436
370.971708	82.439
371.337919	82.441
371.704130	82.444
372.070341	82.447
372.436552	82.449
372.802763	82.452
373.168974	82.455
373.535185	82.458
373.901396	82.460
374.267607	82.463
374.633818	82.466
375.000029	82.469
375.366240	82.472
375.732451	82.475
376.098662	82.478
376.464873	82.481
376.831084	82.485
377.197295	82.488
377.563506	82.491
377.929717	82.495
378.295928	82.498
378.662139	82.502
379.028350	82.505
379.394560	82.509
379.760771	82.513
380.126982	82.516
380.493193	82.520
380.859404	82.524
381.225615	82.527
381.591826	82.531
381.958037	82.535
382.324248	82.538
382.690459	82.541
383.056670	82.545
383.422881	82.548
383.789092	82.552
384.155303	82.555
384.521514	82.558
384.887725	82.562
385.253936	82.565
385.620147	82.569
385.986358	82.572
386.352569	82.575
386.718780	82.579
387.084991	82.582
387.451202	82.585
387.817413	82.589
388.183624	82.592
388.549835	82.595
388.916046	82.599
389.282257	82.602
389.648468	82.606
390.014679	82.609
390.380890	82.612
390.747100	82.616
391.113311	82.619
391.479522	82.623
391.845733	82.627
392.211944	82.630
392.578155	82.634
392.944366	82.638
393.310577	82.642
393.676788	82.646
394.042999	82.650
394.409210	82.654
394.775421	82.659
395.141632	82.663
395.507843	82.667
395.874054	82.672
396.240265	82.676
396.606476	82.680
396.972687	82.685
397.338898	82.689
397.705109	82.693
398.071320	82.698
398.437531	82.702
398.803742	82.706
399.169953	82.710
399.536164	82.714
399.902375	82.718
400.268586	82.722
400.634797	82.726
401.001008	82.730
401.367219	82.733
401.733429	82.737
402.099640	82.741
402.465851	82.745
402.832062	82.749
403.198273	82.753
403.564484	82.757
403.930695	82.761
404.296906	82.765
404.663117	82.769
405.029328	82.773
405.395539	82.777
405.761750	82.782
406.127961	82.786
406.494172	82.790
406.860383	82.794
407.226594	82.799
407.592805	82.803
407.959016	82.807
408.325227	82.812
408.691438	82.816
409.057649	82.820
409.423860	82.825
409.790071	82.829
410.156282	82.834
410.522493	82.838
410.888704	82.843
411.254915	82.847
411.621126	82.852
411.987337	82.856
412.353548	82.861
412.719759	82.866
413.085969	82.870
413.452180	82.875
413.818391	82.880
414.184602	82.885
414.550813	82.890
414.917024	82.895
415.283235	82.900
415.649446	82.905
416.015657	82.911
416.381868	82.916
416.748079	82.921
417.114290	82.927
417.480501	82.932
417.846712	82.938
418.212923	82.944
418.579134	82.949
418.945345	82.955
419.311556	82.961
419.677767	82.967
420.043978	82.973
420.410189	82.979
420.776400	82.986
421.142611	82.992
421.508822	82.998
421.875033	83.004
422.241244	83.011
422.607455	83.017
422.973666	83.023
423.339877	83.030
423.706088	83.036
424.072298	83.042
424.438509	83.048
424.804720	83.054
425.170931	83.060
425.537142	83.066
425.903353	83.072
426.269564	83.078
426.635775	83.084
427.001986	83.090
427.368197	83.095
427.734408	83.101
428.100619	83.106
428.466830	83.112
428.833041	83.117
429.199252	83.122
429.565463	83.128
429.931674	83.133
430.297885	83.138
430.664096	83.143
431.030307	83.148
431.396518	83.153
431.762729	83.158
432.128940	83.163
432.495151	83.168
432.861362	83.172
433.227573	83.177
433.593784	83.182
433.959995	83.186
434.326206	83.191
434.692417	83.196
435.058628	83.200
435.424838	83.205
435.791049	83.209
436.157260	83.213
436.523471	83.218
436.889682	83.222
437.255893	83.226
437.622104	83.230
437.988315	83.234
438.354526	83.238
438.720737	83.242
439.086948	83.246
439.453159	83.249
439.819370	83.253
440.185581	83.256
440.551792	83.260
440.918003	83.263
441.284214	83.266
441.650425	83.269
442.016636	83.272
442.382847	83.274
442.749058	83.277
443.115269	83.279
443.481480	83.282
443.847691	83.284
444.213902	83.286
444.580113	83.288
444.946324	83.290
445.312535	83.292
445.678746	83.294
446.044957	83.296
446.411168	83.298
446.777378	83.300
447.143589	83.302
447.509800	83.304
447.876011	83.305
448.242222	83.307
448.608433	83.309
448.974644	83.311
449.340855	83.312
449.707066	83.314
450.073277	83.316
450.439488	83.317
450.805699	83.319
451.171910	83.320
451.538121	83.322
451.904332	83.323
452.270543	83.325
452.636754	83.326
453.002965	83.327
453.369176	83.329
453.735387	83.330
454.101598	83.331
454.467809	83.332
454.834020	83.333
455.200231	83.334
455.566442	83.335
455.932653	83.336
456.298864	83.337
456.665075	83.337
457.031286	83.338
457.397497	83.338
457.763707	83.339
458.129918	83.339
458.496129	83.340
458.862340	83.340
459.228551	83.340
459.594762	83.340
459.960973	83.340
460.327184	83.340
460.693395	83.340
461.059606	83.340
461.425817	83.340
461.792028	83.340
462.158239	83.339
462.524450	83.339
462.890661	83.339
463.256872	83.338
463.623083	83.337
463.989294	83.337
464.355505	83.336
464.721716	83.335
465.087927	83.334
465.454138	83.333
465.820349	83.332
466.186560	83.331
466.552771	83.330
466.918982	83.329
467.285193	83.327
467.651404	83.326
468.017615	83.324
468.383826	83.323
468.750037	83.321
469.116247	83.320
469.482458	83.318
469.848669	83.316
470.214880	83.315
470.581091	83.313
470.947302	83.311
471.313513	83.310
471.679724	83.308
472.045935	83.306
472.412146	83.304
472.778357	83.302
473.144568	83.301
473.510779	83.299
473.876990	83.297
474.243201	83.295
474.609412	83.293
474.975623	83.292
475.341834	83.290
475.708045	83.288
476.074256	83.286
476.440467	83.284
476.806678	83.282
477.172889	83.280
477.539100	83.278
477.905311	83.276
478.271522	83.274
478.637733	83.272
479.003944	83.269
479.370155	83.267
479.736366	83.265
480.102576	83.262
480.468787	83.260
480.834998	83.257
481.201209	83.255
481.567420	83.252
481.933631	83.249
482.299842	83.247
482.666053	83.244
483.032264	83.241
483.398475	83.238
483.764686	83.235
484.130897	83.233
484.497108	83.230
484.863319	83.227
485.229530	83.224
485.595741	83.221
485.961952	83.218
486.328163	83.215
486.694374	83.212
487.060585	83.210
487.426796	83.207
487.793007	83.204
488.159218	83.201
488.525429	83.198
488.891640	83.195
489.257851	83.192
489.624062	83.189
489.990273	83.186
490.356484	83.183
490.722695	83.180
491.088906	83.177
491.455116	83.174
491.821327	83.171
492.187538	83.168
492.553749	83.165
492.919960	83.161
493.286171	83.158
493.652382	83.155
494.018593	83.152
494.384804	83.149
494.751015	83.146
495.117226	83.143
495.483437	83.140
495.849648	83.137
496.215859	83.134
496.582070	83.130
496.948281	83.127
497.314492	83.124
497.680703	83.121
498.046914	83.118
498.413125	83.116
498.779336	83.113
499.145547	83.110
499.511758	83.107
499.877969	83.104
500.244180	83.101
500.610391	83.098
500.976602	83.095
501.342813	83.093
501.709024	83.090
502.075235	83.087
502.441445	83.084
502.807656	83.081
503.173867	83.079
503.540078	83.076
503.906289	83.073
504.272500	83.071
504.638711	83.068
505.004922	83.065
505.371133	83.063
505.737344	83.060
506.103555	83.057
506.469766	83.055
506.835977	83.052
507.202188	83.050
507.568399	83.047
507.934610	83.045
508.300821	83.042
508.667032	83.040
509.033243	83.037
509.399454	83.035
509.765665	83.032
510.131876	83.030
510.498087	83.028
510.864298	83.025
511.230509	83.023
511.596720	83.021
511.962931	83.019
512.329142	83.017
512.695353	83.014
513.061564	83.012
513.427775	83.010
513.793985	83.008
514.160196	83.006
514.526407	83.005
514.892618	83.003
515.258829	83.001
515.625040	82.999
515.991251	82.997
516.357462	82.996
516.723673	82.994
517.089884	82.992
517.456095	82.991
517.822306	82.989
518.188517	82.987
518.554728	82.986
518.920939	82.984
519.287150	82.983
519.653361	82.981
520.019572	82.980
520.385783	82.978
520.751994	82.977
521.118205	82.976
521.484416	82.974
521.850627	82.973
522.216838	82.972
522.583049	82.971
522.949260	82.970
523.315471	82.969
523.681682	82.968
524.047893	82.967
524.414104	82.966
524.780315	82.965
525.146525	82.964
525.512736	82.964
525.878947	82.963
526.245158	82.962
526.611369	82.961
526.977580	82.961
527.343791	82.960
527.710002	82.960
528.076213	82.959
528.442424	82.958
528.808635	82.958
529.174846	82.958
529.541057	82.957
529.907268	82.957
530.273479	82.956
530.639690	82.956
531.005901	82.956
531.372112	82.955
531.738323	82.955
532.104534	82.955
532.470745	82.955
532.836956	82.955
533.203167	82.954
533.569378	82.954
533.935589	82.954
534.301800	82.954
